"Swap 
 Percentage",Measurement,Feature,oldpeak,chol,ca,age,fbs,sex,cp,thal,restecg,thalach,exang,trestbps,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Hellinger
 distance",age,0.0/0.0,0.0099/0.0675,0.0395/0.0099,-,0.0/0.0099,0.0/0.0099,0.0198/0.0395,0.0395/0.1219,-,0.0198/0.0593,0.0099/0.0099,0.0/0.0805,,0.009879241915936799,0.009879241915936799,0.2139700959347154,0.5464910948606723,[],"[0.0, 0.06745968347071236, 0.009879241915936799, 0.009879241915936799, 0.009879241915936799, 0.039516967663747196, 0.12193372132189632, 0.0592754514956208, 0.009879241915936799, 0.08047891642183322]","[0.0, 0.07733892538664916, 0.04939620957968399, 0.009879241915936799, 0.009879241915936799, 0.059275451495620794, 0.16145068898564352, 0.07903393532749439, 0.019758483831873598, 0.08047891642183322]"
10%,"Wasserstein
 distance",age,0.0/0.0,0.0005/0.0042,0.0021/0.0005,-,0.0/0.0005,0.0/0.0005,0.001/0.0021,0.0021/0.0095,-,0.0011/0.0032,0.0005/0.0005,0.0/0.0042,,0.0005412812271803,0.0005412812271803,0.01320726194319945,0.03274751424440847,[],"[0.0, 0.00420395086443371, 0.00052323851960763, 0.00052323851960763, 0.0005412812271803, 0.00211099678600319, 0.009490464183228041, 0.00319355924036379, 0.00052323851960763, 0.00422199357200638]","[0.0, 0.00474523209161401, 0.00263423530561082, 0.00052323851960763, 0.0005412812271803, 0.00315747382521845, 0.011619503676803901, 0.00425807898715172, 0.00104647703921526, 0.00422199357200638]"
10%,"Total variation
 distance",age,0.0/0.0,0.0077/0.0595,0.0323/0.0059,-,0.0/0.005,0.0/0.0077,0.0109/0.0303,0.0279/0.133,-,0.0125/0.0429,0.0048/0.01,0.0/0.068,,0.007692307692307681,0.007692307692307681,0.18884627627274678,0.8205264343499634,[],"[0.0, 0.059542483660130686, 0.00588235294117647, 0.00499999999999999, 0.007692307692307681, 0.030326797385620902, 0.13296027501909852, 0.04293363499245848, 0.00999999999999999, 0.06797008547008541]","[0.0, 0.12677727501256905, 0.044024113141760184, 0.00999999999999998, 0.015384615384615361, 0.07153594771241827, 0.2937809249573955, 0.09832148243912942, 0.024761904761904742, 0.13594017094017083]"
10%,"Jensen-Shannon
 divergence",age,0.0/0.0,0.0038/0.0252,0.0148/0.0038,-,0.0/0.0039,0.0/0.0038,0.0077/0.015,0.0151/0.0449,-,0.0077/0.0226,0.0039/0.0036,0.0/0.0303,,0.00375637207495337,0.00375637207495337,0.08030593295629461,0.2059756335034707,[],"[0.0, 0.02521054285758969, 0.00380040093403814, 0.00389604756942664, 0.00375637207495337, 0.01499964694275853, 0.04493435746727027, 0.02259176189147009, 0.00360202632128515, 0.03030796570389061]","[0.0, 0.02896691493254306, 0.018552225500060773, 0.00389604756942664, 0.00375637207495337, 0.02269609544622331, 0.05999071538835013, 0.03027770226658056, 0.00753159462144225, 0.03030796570389061]"
30%,"Hellinger
 distance",age,0.0634/0.0658,0.0099/0.1462,0.0732/0.1053,-,0.0099/0.014,0.0198/0.0198,0.0576/0.1048,0.0716/0.2335,-,0.0617/0.1226,0.0855/0.0778,0.0436/0.162,,0.019758483831873598,0.019758483831873598,0.5456385157826592,1.547828448015977,[],"[0.06576467352986713, 0.14617865656332613, 0.10528164119361434, 0.01397135790348258, 0.019758483831873598, 0.10482237238322967, 0.2334851596740136, 0.1226430189787874, 0.07783178152862624, 0.1620229183147504]","[0.12913224101303372, 0.15605789847926294, 0.1785284505927177, 0.02385059981941938, 0.039516967663747196, 0.16240281393800524, 0.30503695913227175, 0.18431557652110875, 0.16335493889036698, 0.2056320019660434]"
30%,"Wasserstein
 distance",age,0.0027/0.0027,0.0005/0.0116,0.0042/0.0069,-,0.0005/0.001,0.0011/0.0011,0.0027/0.0069,0.0037/0.03,-,0.0032/0.0069,0.0026/0.0058,0.0027/0.0121,,0.00106451974678793,0.00106451974678793,0.04359118149558734,0.10892382561625025,[],"[0.0026522780131835, 0.01163754638437659, 0.006892314292762559, 0.00104647703921526, 0.00106451974678793, 0.00691035700033525, 0.030041108108507037, 0.0068562288776172, 0.0058277945459746195, 0.012124699488838861]","[0.00532259873393966, 0.01217882761155689, 0.011114307864768939, 0.00156971555882289, 0.00212903949357586, 0.00958067772109142, 0.03377594857605114, 0.01001370270283565, 0.00846202985158544, 0.014776977502022361]"
30%,"Total variation
 distance",age,0.0459/0.0511,0.0077/0.1726,0.0511/0.1017,-,0.0083/0.01,0.0134/0.0127,0.047/0.1088,0.0522/0.3541,-,0.0438/0.1218,0.0574/0.0823,0.034/0.2083,,0.01269230769230767,0.01269230769230767,0.624368883825153,2.8074906370084047,[],"[0.05114219114219114, 0.17262667887667882, 0.10174315880198229, 0.00999999999999999, 0.01269230769230767, 0.10878968253968249, 0.35406852177750003, 0.12175597063754955, 0.08225940725940725, 0.20827523353839145]","[0.1481451881451881, 0.3529456654456653, 0.2545483476791525, 0.028333333333333308, 0.03877747252747247, 0.2646257397573186, 0.7603694850265719, 0.2872792850424428, 0.22189477189477183, 0.4505713481564875]"
30%,"Jensen-Shannon
 divergence",age,0.0242/0.0249,0.0038/0.0534,0.028/0.0393,-,0.0037/0.0054,0.0076/0.0077,0.0217/0.0389,0.0274/0.0808,-,0.0237/0.0457,0.0326/0.0288,0.0166/0.0593,,0.00765241964438001,0.00765241964438001,0.199679064138491,0.5731505125438997,[],"[0.0249228239091365, 0.05344622458419788, 0.03925450483664546, 0.00538801670758357, 0.00765241964438001, 0.038872783362912014, 0.08078367529795058, 0.04571918412795638, 0.028759925691777287, 0.059253730825682346]","[0.04911270725994329, 0.05720259665915125, 0.06724865405029576, 0.00904353336870632, 0.01520886140967331, 0.06054296073840172, 0.1081743403891457, 0.06939598902617179, 0.061365435965197376, 0.0758554336772132]"
50%,"Hellinger
 distance",age,0.0706/0.0846,0.0494/0.1646,0.0896/0.1,-,0.0198/0.0099,0.0436/0.0593,0.0535/0.1174,0.1099/0.2923,-,0.0814/0.2109,0.0968/0.1084,0.0593/0.2097,,0.0592754514956208,0.0592754514956208,0.7378039685580238,2.0309445711750387,[],"[0.084571032409379, 0.16459063237449595, 0.09998737140720039, 0.009879241915936799, 0.0592754514956208, 0.11742812237950326, 0.29231207763937295, 0.21092337273464365, 0.10842163222879837, 0.20966809953985505]","[0.1551707069152754, 0.21398684195417994, 0.18960264475648692, 0.029637725747810397, 0.10288453514691379, 0.17091644794673305, 0.40217869096251013, 0.2923544141088386, 0.2052690126008147, 0.26894355103547585]"
50%,"Wasserstein
 distance",age,0.0037/0.0048,0.0027/0.0148,0.0042/0.0069,-,0.001/0.0005,0.0027/0.0032,0.0032/0.0086,0.0053/0.0459,-,0.0053/0.0164,0.0042/0.0085,0.0032/0.0207,,0.00317551653279112,0.00317551653279112,0.06824654139365037,0.16552379927173777,[],"[0.0047632747991867, 0.01479502020959505, 0.00689231429276257, 0.00052323851960763, 0.00317551653279112, 0.00855224338944886, 0.045882605357317405, 0.016382778475990623, 0.008498115266730808, 0.02067694287828773]","[0.008443987144012781, 0.01744729822277854, 0.011096265157196281, 0.00156971555882289, 0.00582779454597461, 0.01174580262981266, 0.05116911867611172, 0.021669291794784943, 0.012702066131164518, 0.02385245941107885]"
